-24.89994997 -0.00058169 -0.00000908 	-24.89994997 -0.00036049 -0.00000518	-24.89994997 -0.00058382 -0.00000912 	-24.89994997 -0.00162818 -0.00002756 
-24.87493747 -0.00058244 -0.00000908 	-24.87493747 -0.00036092 -0.00000516	-24.87493747 -0.00058458 -0.00000912 	-24.87493747 -0.00163048 -0.00002764 
-24.84992496 -0.00058321 -0.00000911 	-24.84992496 -0.00036136 -0.00000517	-24.84992496 -0.00058534 -0.00000914 	-24.84992496 -0.00163278 -0.00002770 
-24.82491246 -0.00058397 -0.00000915 	-24.82491246 -0.00036178 -0.00000523	-24.82491246 -0.00058610 -0.00000920 	-24.82491246 -0.00163510 -0.00002778 
-24.79989995 -0.00058473 -0.00000917 	-24.79989995 -0.00036221 -0.00000521	-24.79989995 -0.00058686 -0.00000920 	-24.79989995 -0.00163742 -0.00002786 
-24.77488744 -0.00058549 -0.00000918 	-24.77488744 -0.00036266 -0.00000522	-24.77488744 -0.00058764 -0.00000922 	-24.77488744 -0.00163974 -0.00002794 
-24.74987494 -0.00058625 -0.00000922 	-24.74987494 -0.00036311 -0.00000525	-24.74987494 -0.00058842 -0.00000926 	-24.74987494 -0.00164206 -0.00002802 
-24.72486243 -0.00058702 -0.00000923 	-24.72486243 -0.00036353 -0.00000524	-24.72486243 -0.00058918 -0.00000926 	-24.72486243 -0.00164440 -0.00002808 
-24.69984992 -0.00058780 -0.00000926 	-24.69984992 -0.00036398 -0.00000527	-24.69984992 -0.00058996 -0.00000930 	-24.69984992 -0.00164674 -0.00002816 
-24.67483742 -0.00058857 -0.00000928 	-24.67483742 -0.00036442 -0.00000527	-24.67483742 -0.00059074 -0.00000932 	-24.67483742 -0.00164910 -0.00002824 
-24.64982491 -0.00058935 -0.00000930 	-24.64982491 -0.00036484 -0.00000528	-24.64982491 -0.00059150 -0.00000934 	-24.64982491 -0.00165144 -0.00002832 
-24.62481241 -0.00059013 -0.00000934 	-24.62481241 -0.00036530 -0.00000532	-24.62481241 -0.00059230 -0.00000938 	-24.62481241 -0.00165382 -0.00002838 
-24.59979990 -0.00059090 -0.00000936 	-24.59979990 -0.00036575 -0.00000532	-24.59979990 -0.00059308 -0.00000940 	-24.59979990 -0.00165618 -0.00002846 
-24.57478739 -0.00059168 -0.00000938 	-24.57478739 -0.00036618 -0.00000536	-24.57478739 -0.00059386 -0.00000944 	-24.57478739 -0.00165856 -0.00002854 
-24.54977489 -0.00059245 -0.00000940 	-24.54977489 -0.00036662 -0.00000534	-24.54977489 -0.00059464 -0.00000944 	-24.54977489 -0.00166094 -0.00002862 
-24.52476238 -0.00059324 -0.00000943 	-24.52476238 -0.00036708 -0.00000537	-24.52476238 -0.00059544 -0.00000948 	-24.52476238 -0.00166334 -0.00002870 
-24.49974987 -0.00059403 -0.00000946 	-24.49974987 -0.00036754 -0.00000538	-24.49974987 -0.00059624 -0.00000950 	-24.49974987 -0.00166572 -0.00002878 
-24.47473737 -0.00059482 -0.00000948 	-24.47473737 -0.00036797 -0.00000538	-24.47473737 -0.00059702 -0.00000952 	-24.47473737 -0.00166814 -0.00002886 
-24.44972486 -0.00059561 -0.00000951 	-24.44972486 -0.00036843 -0.00000540	-24.44972486 -0.00059782 -0.00000954 	-24.44972486 -0.00167054 -0.00002892 
-24.42471236 -0.00059642 -0.00000953 	-24.42471236 -0.00036888 -0.00000542	-24.42471236 -0.00059862 -0.00000958 	-24.42471236 -0.00167296 -0.00002902 
-24.39969985 -0.00059720 -0.00000956 	-24.39969985 -0.00036934 -0.00000541	-24.39969985 -0.00059942 -0.00000958 	-24.39969985 -0.00167536 -0.00002910 
-24.37468734 -0.00059800 -0.00000958 	-24.37468734 -0.00036979 -0.00000544	-24.37468734 -0.00060022 -0.00000962 	-24.37468734 -0.00167780 -0.00002918 
-24.34967484 -0.00059880 -0.00000961 	-24.34967484 -0.00037022 -0.00000545	-24.34967484 -0.00060100 -0.00000964 	-24.34967484 -0.00168024 -0.00002924 
-24.32466233 -0.00059960 -0.00000963 	-24.32466233 -0.00037066 -0.00000548	-24.32466233 -0.00060180 -0.00000968 	-24.32466233 -0.00168268 -0.00002934 
-24.29964982 -0.00060040 -0.00000965 	-24.29964982 -0.00037114 -0.00000549	-24.29964982 -0.00060262 -0.00000970 	-24.29964982 -0.00168512 -0.00002940 
-24.27463732 -0.00060121 -0.00000968 	-24.27463732 -0.00037161 -0.00000551	-24.27463732 -0.00060344 -0.00000974 	-24.27463732 -0.00168758 -0.00002950 
-24.24962481 -0.00060202 -0.00000971 	-24.24962481 -0.00037205 -0.00000550	-24.24962481 -0.00060424 -0.00000974 	-24.24962481 -0.00169004 -0.00002958 
-24.22461231 -0.00060282 -0.00000974 	-24.22461231 -0.00037252 -0.00000553	-24.22461231 -0.00060506 -0.00000978 	-24.22461231 -0.00169250 -0.00002966 
-24.19959980 -0.00060364 -0.00000976 	-24.19959980 -0.00037299 -0.00000556	-24.19959980 -0.00060588 -0.00000982 	-24.19959980 -0.00169498 -0.00002974 
-24.17458729 -0.00060446 -0.00000979 	-24.17458729 -0.00037345 -0.00000557	-24.17458729 -0.00060670 -0.00000984 	-24.17458729 -0.00169746 -0.00002982 
-24.14957479 -0.00060528 -0.00000981 	-24.14957479 -0.00037392 -0.00000557	-24.14957479 -0.00060752 -0.00000986 	-24.14957479 -0.00169994 -0.00002990 
-24.12456228 -0.00060610 -0.00000984 	-24.12456228 -0.00037438 -0.00000558	-24.12456228 -0.00060834 -0.00000988 	-24.12456228 -0.00170244 -0.00003000 
-24.09954977 -0.00060692 -0.00000987 	-24.09954977 -0.00037484 -0.00000558	-24.09954977 -0.00060916 -0.00000990 	-24.09954977 -0.00170494 -0.00003008 
-24.07453727 -0.00060773 -0.00000989 	-24.07453727 -0.00037532 -0.00000562	-24.07453727 -0.00061000 -0.00000994 	-24.07453727 -0.00170746 -0.00003016 
-24.04952476 -0.00060856 -0.00000992 	-24.04952476 -0.00037578 -0.00000562	-24.04952476 -0.00061082 -0.00000996 	-24.04952476 -0.00170998 -0.00003024 
-24.02451226 -0.00060938 -0.00000994 	-24.02451226 -0.00037623 -0.00000565	-24.02451226 -0.00061164 -0.00001000 	-24.02451226 -0.00171250 -0.00003032 
-23.99949975 -0.00061021 -0.00000997 	-23.99949975 -0.00037671 -0.00000566	-23.99949975 -0.00061248 -0.00001002 	-23.99949975 -0.00171502 -0.00003042 
-23.97448724 -0.00061104 -0.00001000 	-23.97448724 -0.00037719 -0.00000567	-23.97448724 -0.00061332 -0.00001004 	-23.97448724 -0.00171756 -0.00003048 
-23.94947474 -0.00061189 -0.00001003 	-23.94947474 -0.00037764 -0.00000568	-23.94947474 -0.00061414 -0.00001006 	-23.94947474 -0.00172010 -0.00003056 
-23.92446223 -0.00061272 -0.00001005 	-23.92446223 -0.00037814 -0.00000570	-23.92446223 -0.00061500 -0.00001010 	-23.92446223 -0.00172266 -0.00003066 
-23.89944972 -0.00061356 -0.00001008 	-23.89944972 -0.00037861 -0.00000571	-23.89944972 -0.00061584 -0.00001012 	-23.89944972 -0.00172522 -0.00003076 
-23.87443722 -0.00061440 -0.00001010 	-23.87443722 -0.00037908 -0.00000574	-23.87443722 -0.00061668 -0.00001016 	-23.87443722 -0.00172778 -0.00003084 
-23.84942471 -0.00061525 -0.00001013 	-23.84942471 -0.00037955 -0.00000574	-23.84942471 -0.00061752 -0.00001018 	-23.84942471 -0.00173036 -0.00003092 
-23.82441221 -0.00061610 -0.00001017 	-23.82441221 -0.00038002 -0.00000575	-23.82441221 -0.00061836 -0.00001020 	-23.82441221 -0.00173294 -0.00003100 
-23.79939970 -0.00061693 -0.00001020 	-23.79939970 -0.00038051 -0.00000576	-23.79939970 -0.00061922 -0.00001022 	-23.79939970 -0.00173552 -0.00003110 
-23.77438719 -0.00061779 -0.00001021 	-23.77438719 -0.00038100 -0.00000579	-23.77438719 -0.00062008 -0.00001026 	-23.77438719 -0.00173812 -0.00003118 
-23.74937469 -0.00061864 -0.00001024 	-23.74937469 -0.00038149 -0.00000582	-23.74937469 -0.00062094 -0.00001030 	-23.74937469 -0.00174072 -0.00003126 
-23.72436218 -0.00061950 -0.00001027 	-23.72436218 -0.00038197 -0.00000582	-23.72436218 -0.00062180 -0.00001032 	-23.72436218 -0.00174334 -0.00003136 
-23.69934967 -0.00062036 -0.00001030 	-23.69934967 -0.00038246 -0.00000582	-23.69934967 -0.00062266 -0.00001034 	-23.69934967 -0.00174594 -0.00003146 
-23.67433717 -0.00062121 -0.00001033 	-23.67433717 -0.00038294 -0.00000586	-23.67433717 -0.00062352 -0.00001038 	-23.67433717 -0.00174858 -0.00003152 
-23.64932466 -0.00062207 -0.00001036 	-23.64932466 -0.00038342 -0.00000586	-23.64932466 -0.00062438 -0.00001040 	-23.64932466 -0.00175120 -0.00003162 
-23.62431216 -0.00062293 -0.00001039 	-23.62431216 -0.00038390 -0.00000587	-23.62431216 -0.00062524 -0.00001042 	-23.62431216 -0.00175382 -0.00003172 
-23.59929965 -0.00062381 -0.00001041 	-23.59929965 -0.00038440 -0.00000590	-23.59929965 -0.00062612 -0.00001046 	-23.59929965 -0.00175650 -0.00003180 
-23.57428714 -0.00062468 -0.00001045 	-23.57428714 -0.00038490 -0.00000590	-23.57428714 -0.00062700 -0.00001048 	-23.57428714 -0.00175914 -0.00003188 
-23.54927464 -0.00062555 -0.00001047 	-23.54927464 -0.00038540 -0.00000593	-23.54927464 -0.00062788 -0.00001052 	-23.54927464 -0.00176180 -0.00003198 
-23.52426213 -0.00062642 -0.00001050 	-23.52426213 -0.00038588 -0.00000596	-23.52426213 -0.00062874 -0.00001056 	-23.52426213 -0.00176446 -0.00003208 
-23.49924962 -0.00062730 -0.00001053 	-23.49924962 -0.00038637 -0.00000597	-23.49924962 -0.00062962 -0.00001058 	-23.49924962 -0.00176714 -0.00003216 
-23.47423712 -0.00062817 -0.00001056 	-23.47423712 -0.00038687 -0.00000597	-23.47423712 -0.00063050 -0.00001060 	-23.47423712 -0.00176982 -0.00003226 
-23.44922461 -0.00062906 -0.00001058 	-23.44922461 -0.00038738 -0.00000600	-23.44922461 -0.00063140 -0.00001064 	-23.44922461 -0.00177254 -0.00003236 
-23.42421211 -0.00062995 -0.00001062 	-23.42421211 -0.00038787 -0.00000600	-23.42421211 -0.00063228 -0.00001066 	-23.42421211 -0.00177522 -0.00003246 
-23.39919960 -0.00063083 -0.00001065 	-23.39919960 -0.00038838 -0.00000603	-23.39919960 -0.00063318 -0.00001070 	-23.39919960 -0.00177794 -0.00003254 
-23.37418709 -0.00063172 -0.00001068 	-23.37418709 -0.00038888 -0.00000606	-23.37418709 -0.00063406 -0.00001074 	-23.37418709 -0.00178064 -0.00003262 
-23.34917459 -0.00063261 -0.00001071 	-23.34917459 -0.00038938 -0.00000604	-23.34917459 -0.00063496 -0.00001074 	-23.34917459 -0.00178338 -0.00003274 
-23.32416208 -0.00063350 -0.00001073 	-23.32416208 -0.00038989 -0.00000607	-23.32416208 -0.00063586 -0.00001078 	-23.32416208 -0.00178610 -0.00003282 
-23.29914957 -0.00063440 -0.00001076 	-23.29914957 -0.00039040 -0.00000609	-23.29914957 -0.00063676 -0.00001082 	-23.29914957 -0.00178884 -0.00003292 
-23.27413707 -0.00063529 -0.00001079 	-23.27413707 -0.00039090 -0.00000610	-23.27413707 -0.00063766 -0.00001084 	-23.27413707 -0.00179160 -0.00003302 
-23.24912456 -0.00063619 -0.00001082 	-23.24912456 -0.00039143 -0.00000612	-23.24912456 -0.00063858 -0.00001088 	-23.24912456 -0.00179434 -0.00003312 
-23.22411206 -0.00063709 -0.00001085 	-23.22411206 -0.00039191 -0.00000613	-23.22411206 -0.00063946 -0.00001090 	-23.22411206 -0.00179710 -0.00003320 
-23.19909955 -0.00063801 -0.00001088 	-23.19909955 -0.00039244 -0.00000616	-23.19909955 -0.00064038 -0.00001094 	-23.19909955 -0.00179986 -0.00003330 
-23.17408704 -0.00063891 -0.00001091 	-23.17408704 -0.00039295 -0.00000616	-23.17408704 -0.00064130 -0.00001096 	-23.17408704 -0.00180266 -0.00003340 
-23.14907454 -0.00063983 -0.00001095 	-23.14907454 -0.00039348 -0.00000619	-23.14907454 -0.00064222 -0.00001100 	-23.14907454 -0.00180544 -0.00003350 
-23.12406203 -0.00064075 -0.00001098 	-23.12406203 -0.00039399 -0.00000619	-23.12406203 -0.00064314 -0.00001102 	-23.12406203 -0.00180824 -0.00003360 
-23.09904952 -0.00064165 -0.00001100 	-23.09904952 -0.00039451 -0.00000622	-23.09904952 -0.00064406 -0.00001106 	-23.09904952 -0.00181104 -0.00003370 
-23.07403702 -0.00064257 -0.00001104 	-23.07403702 -0.00039503 -0.00000625	-23.07403702 -0.00064498 -0.00001110 	-23.07403702 -0.00181386 -0.00003378 
-23.04902451 -0.00064349 -0.00001107 	-23.04902451 -0.00039552 -0.00000625	-23.04902451 -0.00064588 -0.00001112 	-23.04902451 -0.00181666 -0.00003388 
-23.02401201 -0.00064443 -0.00001110 	-23.02401201 -0.00039605 -0.00000628	-23.02401201 -0.00064682 -0.00001116 	-23.02401201 -0.00181950 -0.00003400 
-22.99899950 -0.00064534 -0.00001114 	-22.99899950 -0.00039659 -0.00000628	-22.99899950 -0.00064776 -0.00001118 	-22.99899950 -0.00182234 -0.00003410 
-22.97398699 -0.00064627 -0.00001116 	-22.97398699 -0.00039712 -0.00000631	-22.97398699 -0.00064870 -0.00001122 	-22.97398699 -0.00182518 -0.00003418 
-22.94897449 -0.00064721 -0.00001120 	-22.94897449 -0.00039763 -0.00000633	-22.94897449 -0.00064962 -0.00001126 	-22.94897449 -0.00182804 -0.00003430 
-22.92396198 -0.00064814 -0.00001123 	-22.92396198 -0.00039816 -0.00000634	-22.92396198 -0.00065056 -0.00001128 	-22.92396198 -0.00183090 -0.00003438 
-22.89894947 -0.00064907 -0.00001126 	-22.89894947 -0.00039868 -0.00000637	-22.89894947 -0.00065150 -0.00001132 	-22.89894947 -0.00183378 -0.00003448 
